"","external_gene_name","logFC","FDR","depmap_median_probability_score"
"ENSG00000001497.16","LAS1L",-0.824625176789832,3.83789880844885e-06,0.960689004162423
"ENSG00000004779.10","NDUFAB1",-0.284852257679254,0.000826877187106665,0.907460101233168
"ENSG00000005007.12","UPF1",-0.29045510175521,0.000194574217257344,0.975889658745837
"ENSG00000005100.13","DHX33",-0.948446447744776,4.47885625443856e-07,0.958200643543531
"ENSG00000005175.10","RPAP3",-0.322907541657883,0.000484372309182391,0.953187984940457
"ENSG00000005194.15","CIAPIN1",-0.462880957559939,1.89686037749033e-06,0.92580949696287
"ENSG00000006634.8","DBF4",-0.815505169676543,4.67744890884374e-06,0.918602842797541
"ENSG00000006744.19","ELAC2",-0.702988233376832,2.41488142225133e-07,0.941010646650548
"ENSG00000008018.9","PSMB1",-0.298199029209831,7.95719268288108e-06,0.9999643376358
"ENSG00000010072.16","SPRTN",-0.260708495539207,0.00800019021132025,0.920473933800736
"ENSG00000010244.18","ZNF207",-0.340544242872684,1.04917455208047e-05,0.999996635341218
"ENSG00000011260.14","UTP18",-0.846615987470637,4.91675728745629e-07,0.935242247478802
"ENSG00000011426.11","ANLN",-0.689285251472726,0.00032978303771711,0.867353505945647
"ENSG00000013275.7","PSMC4",-0.694700547949096,2.49555304127999e-08,0.996372605452667
"ENSG00000013503.10","POLR3B",-0.374239070221115,0.000907406709301729,0.999990009987202
"ENSG00000013573.17","DDX11",-0.610807902254538,7.56113991934162e-05,0.94336277491888
"ENSG00000014138.9","POLA2",-1.44503842162113,1.56249434510876e-06,0.99059366828376
"ENSG00000018699.13","TTC27",-0.496367066298621,0.00107065256818469,0.990101579347413
"ENSG00000021776.11","AQR",-0.25852797264404,0.000701476672855588,0.999851490334197
"ENSG00000023734.11","STRAP",-0.568036606793677,9.44715205003273e-07,0.944146285147207
"ENSG00000025770.19","NCAPH2",-0.81974955522368,8.55134866747924e-07,0.859740425971413
"ENSG00000030066.13","NUP160",-0.411373733408542,0.000757504864213375,0.998308101094395
"ENSG00000033011.12","ALG1",-0.393470150336798,0.000120926278175544,0.946644466181803
"ENSG00000035141.8","FAM136A",-1.1017502933881,6.93095468012844e-09,0.754457968426489
"ENSG00000039123.16","MTREX",-0.313432374413232,0.000165957344963004,0.999745141645402
"ENSG00000040275.17","SPDL1",-1.16482527289215,6.75532775669357e-08,0.97945927999733
"ENSG00000041802.11","LSG1",-0.450741032855749,0.000189905660694026,0.970711490495904
"ENSG00000044574.8","HSPA5",0.49573005690758,0.00076747294872565,0.999811720053559
"ENSG00000046647.13","GEMIN8",0.720550476458516,3.07857504822158e-06,0.866727144412786
"ENSG00000047410.14","TPR",-0.188472095045099,0.000919891463193756,0.935029002342872
"ENSG00000048162.20","NOP16",-1.42045571136068,1.0123504971833e-07,0.976310095172644
"ENSG00000049541.11","RFC2",-1.26465560714508,3.04255699246197e-08,0.993776639175471
"ENSG00000051180.17","RAD51",-1.3731424887429,6.71336952999492e-06,0.978667599690944
"ENSG00000051596.9","THOC3",-0.369105248194931,0.00195865429345648,0.999935619433794
"ENSG00000052749.13","RRP12",-1.30529370227098,2.01750533299772e-08,0.976457396395144
"ENSG00000053372.5","MRTO4",-1.38792107625302,1.55449310996187e-07,0.957011739119903
"ENSG00000055044.11","NOP58",-1.02701229454196,3.76344763164426e-07,0.995840483075261
"ENSG00000055130.16","CUL1",-0.366143957872791,6.77698528690565e-06,0.793474214078205
"ENSG00000055483.19","USP36",-0.918554173586698,2.14741617454523e-08,0.977955022677214
"ENSG00000058262.10","SEC61A1",-0.316110533103454,0.00119767925797324,0.999999899572546
"ENSG00000058600.16","POLR3E",-0.593743716090053,9.45457232047939e-07,0.904400250817877
"ENSG00000058729.11","RIOK2",-0.317950791077178,0.000602384114568541,0.972926658647633
"ENSG00000060237.17","WNK1",-0.21897965111376,0.00192780635612232,0.940500306757144
"ENSG00000060688.13","SNRNP40",-0.74087707196432,2.18881023459158e-07,0.856224392686708
"ENSG00000061936.9","SFSWAP",-0.327882881480915,7.12961183851633e-07,0.891916312802806
"ENSG00000062822.13","POLD1",-1.03599638224059,1.70284142254545e-07,0.999940106532268
"ENSG00000063244.12","U2AF2",-0.456292270066491,0.000127432538405569,1
"ENSG00000063978.16","RNF4",-0.495280386598331,8.26132779122236e-07,0.905464207696403
"ENSG00000064313.12","TAF2",-0.174766552080034,0.000214099476203108,0.94294651860878
"ENSG00000064419.13","TNPO3",-0.213512234592126,0.00056502605672745,0.999516494834069
"ENSG00000064703.12","DDX20",-0.649599329149064,7.43288172156535e-07,0.977673320315488
"ENSG00000065183.16","WDR3",-0.880222471830638,5.89602357752185e-06,0.95446399786046
"ENSG00000065268.10","WDR18",-0.526548850114452,3.04128617299771e-05,0.953042259233437
"ENSG00000065328.16","MCM10",-2.18473547724718,5.60167127517335e-07,0.845166379042853
"ENSG00000065427.14","KARS1",-0.447695033112801,2.82669113202727e-05,0.999996665532405
"ENSG00000065978.19","YBX1",-0.692504089976864,1.56060826060128e-05,0.943872249838613
"ENSG00000066379.15","POLR1H",-0.248614036529536,0.00317752944902149,0.90972960719478
"ENSG00000067225.18","PKM",-0.748105900967735,3.50763685374684e-08,0.924058406920704
