,logFC,AveExpr,t,P.Value,adj.P.Val,B,human_gene,external_gene_name
ENSMUSG00000000001,-0.0786995188392076,11.4063136133695,-1.62630447019101,0.122425385998205,0.30403422229609,-5.40984119321128,GNAI3,Gnai3
ENSMUSG00000000003,-0.0333961108897765,4.42379808071403,-0.360200304453249,0.723169315630907,0.852316767850261,-6.62250827970485,,Pbsn
ENSMUSG00000000028,-0.314807708095352,7.8557578431623,-3.009902390068,0.00794040276558844,0.0504738996274028,-2.92188150395525,CDC45,Cdc45
ENSMUSG00000000031,0.447628631267023,9.87493835592032,2.2697121098216,0.036639490767423,0.141885313336278,-4.35017970355056,,H19
ENSMUSG00000000037,-0.0573896230421862,4.71402967179494,-1.2029266959622,0.245622760591551,0.462350226016429,-5.96622266355057,SCML2,Scml2
ENSMUSG00000000049,-0.00899762000561999,4.48030419485691,-0.150140031762843,0.882435346805071,0.943181783919095,-6.67817270218538,APOH,Apoh
ENSMUSG00000000056,0.129352903053226,8.09837857532486,2.82568001521423,0.0117246367986088,0.0663408054063605,-3.29162134432057,NARF,Narf
ENSMUSG00000000058,-0.506044004104357,8.24660838328179,-6.33439170395421,7.76310917778469e-06,0.000458428033498562,3.86969981759524,CAV2,Cav2
ENSMUSG00000000078,-0.365062263459067,10.4382942935333,-3.86273273091222,0.00126505329412376,0.0141831485276251,-1.14780639166321,KLF6,Klf6
ENSMUSG00000000085,-0.0230358974926887,7.12304677404103,-0.42344495787008,0.677322203942598,0.822670121618342,-6.59689409666811,SCMH1,Scmh1
ENSMUSG00000000088,-0.00900421291186183,12.2235815375425,-0.178491524029616,0.860463799587119,0.931407219624925,-6.67332056195697,COX5A,Cox5a
ENSMUSG00000000093,0.082589799319462,5.79747666923694,0.430730201185121,0.672119651457479,0.818956625863185,-6.59368335214982,TBX2,Tbx2
ENSMUSG00000000094,-0.0942607277707496,5.03475402492763,-1.75200186838233,0.0979367841971892,0.264959850874622,-5.22090672937844,TBX4,Tbx4
ENSMUSG00000000103,-0.0866598427809077,4.49684416146891,-1.03301256182374,0.316186746900611,0.534715441656826,-6.15044781706144,ZNF561,Zfy2
ENSMUSG00000000120,-0.0886516976825206,6.30096808488144,-1.62899862356016,0.121850056991496,0.303228508332029,-5.40589691835654,NGFR,Ngfr
ENSMUSG00000000125,0.000129086754706063,3.9222767186181,0.00277397074178627,0.997819246809719,0.99878801200086,-6.68991921208358,WNT3,Wnt3
ENSMUSG00000000126,0.0107773202680346,5.3692995280782,0.19401485709749,0.848482211741525,0.925241143859376,-6.67031053897099,WNT9A,Wnt9a
ENSMUSG00000000127,-0.181239477223007,7.20383340786589,-3.77923098237264,0.00151541581033698,0.0160285724770123,-1.32389245279474,FER,Fer
ENSMUSG00000000131,-0.180250493674428,8.92890356972625,-4.38615092851901,0.000410154494025936,0.00673522719401829,-0.0442784790896491,XPO6,Xpo6
ENSMUSG00000000134,-0.0630447490792928,9.65595934862618,-1.69949348055715,0.107596458151562,0.280694237726302,-5.30103548283364,TFE3,Tfe3
ENSMUSG00000000142,0.193992117423639,6.84712262589132,1.86177410562517,0.0801568273808315,0.234059474342369,-5.04807407417658,AXIN2,Axin2
ENSMUSG00000000148,0.031102164432446,7.95457235353681,0.807196864678042,0.430792032261918,0.637953663852011,-6.35654820526929,BRAT1,Brat1
ENSMUSG00000000149,0.188264743071331,9.13657092262828,2.77917230739736,0.0129270998707334,0.0705471881439449,-3.38373714001174,GNA12,Gna12
ENSMUSG00000000154,0.0218832373366142,8.89063243335552,0.29786142371253,0.769447514730974,0.880198700003856,-6.64376703372636,SLC22A18,Slc22a18
ENSMUSG00000000157,-0.171129062306131,6.97242177089514,-2.90170682296684,0.00998814564252407,0.0591460225942018,-3.13992760817288,ITGB2,Itgb2l
ENSMUSG00000000167,0.0143678981355049,4.6176307494394,0.268182996333404,0.791811499873675,0.8928044471734,-6.65248780905635,PIH1D2,Pih1d2
ENSMUSG00000000168,-0.0134697488485005,7.62214457928365,-0.334974274737187,0.741775270940769,0.862962687471077,-6.63158961714648,DLAT,Dlat
ENSMUSG00000000171,0.135000767294975,9.75373858809538,2.17399429351244,0.0442424565854144,0.160542733274015,-4.52103467344831,SDHD,Sdhd
ENSMUSG00000000182,-0.198990307468409,5.39679244176216,-2.87740526022669,0.0105141786062678,0.0615246792372053,-3.18855986296353,FGF23,Fgf23
ENSMUSG00000000183,-0.00648208243814704,5.09965184276256,-0.0917856716927654,0.92794989029855,0.966174750796682,-6.68552984961056,FGF6,Fgf6
ENSMUSG00000000184,-0.307808840605732,9.35223420445414,-3.92403103076153,0.00110808953389924,0.0131987878844016,-1.01845308638896,CCND2,Ccnd2
ENSMUSG00000000194,-0.00507942305424651,8.70765112997157,-0.135643601701576,0.893709100816334,0.949543004670885,-6.68033105419583,GPR107,Gpr107
ENSMUSG00000000197,-0.00372692058810922,4.00233474332615,-0.0703687872774806,0.944727922655863,0.974507681924787,-6.68734064381492,NALCN,Nalcn
