"","external_gene_name","entrezgene_id","logFC","PValue","FDR"
"ENSG00000000003.14","TSPAN6",7105,-0.345360059342489,0.138098238179175,0.234944659902373
"ENSG00000000419.12","DPM1",8813,-0.315810180261925,0.0246449783423272,0.0615483996543047
"ENSG00000000457.14","SCYL3",57147,0.43189811537275,0.00308321371229866,0.0121102249762358
"ENSG00000000460.17","C1orf112",55732,-0.502988923808516,0.029147738176663,0.0700274409694329
"ENSG00000000971.15","CFH",3075,0.630947208487107,0.15867162474463,0.261310575881851
"ENSG00000001036.13","FUCA2",2519,-0.342586851021358,0.000317295277105859,0.00213629678630591
"ENSG00000001084.12","GCLC",2729,0.320316906817693,0.0938243797781069,0.174400829722941
"ENSG00000001167.14","NFYA",4800,-0.469016455051261,0.00180406262019461,0.00801898324702598
"ENSG00000001460.18","STPG1",90529,0.744575301212502,0.000334611375806002,0.00221748978005315
"ENSG00000001461.17","NIPAL3",57185,1.28068652661184,3.82020559927119e-07,1.98087279544943e-05
"ENSG00000001497.16","LAS1L",81887,-0.609179844192603,1.3480297755891e-05,0.000207827264332801
"ENSG00000001561.7","ENPP4",22875,0.984349194801427,0.0444938606922111,0.0972955794104817
"ENSG00000001617.12","SEMA3F",6405,0.772080615768909,3.03937687502384e-06,7.33879692687918e-05
"ENSG00000001629.10","ANKIB1",54467,0.188419629967391,0.0428791251144757,0.0943524024614819
"ENSG00000001630.17","CYP51A1",1595,-0.368561163767236,0.00205357987021074,0.00887360726291601
"ENSG00000001631.15","KRIT1",889,0.425918403093776,0.00264067989709429,0.010759107149198
"ENSG00000002016.17","RAD52",5893,-0.0525481579261428,0.825705048647734,0.883698736079671
"ENSG00000002330.13","BAD",572,0.0849927856657858,0.450871050508803,0.575997333303978
"ENSG00000002549.12","LAP3",51056,-0.44655272389386,0.00029031068197556,0.00200326877964466
"ENSG00000002586.20","CD99",4267,0.25301576704231,0.318619146477051,0.442476273720335
"ENSG00000002586.20_PAR_Y","CD99",4267,0.284482569481365,0.200439118400562,0.312731885674219
"ENSG00000002587.10","HS3ST1",9957,-1.6186578332729,0.000118613423037292,0.00100400028953762
"ENSG00000002726.20","AOC1",26,1.46555953743758,0.0702375906911213,0.138733196740547
"ENSG00000002745.13","WNT16",51384,0.875094915933604,0.308236990580492,0.431256548502164
"ENSG00000002746.15","HECW1",23072,1.96759145841385,0.000833228357448765,0.0044141841510311
"ENSG00000002822.15","MAD1L1",8379,-0.0446913743474525,0.773961753300988,0.844817406772205
"ENSG00000002834.18","LASP1",3927,0.0935079562375943,0.367638251374813,0.493804080652994
"ENSG00000002919.14","SNX11",29916,-0.0800735723011711,0.45280452184171,0.578035528015255
"ENSG00000002933.9","TMEM176A",55365,1.07010722401984,0.100880649666721,0.18454245748043
"ENSG00000003056.8","M6PR",4074,-0.582908246273244,5.17506970705298e-06,0.000107645930486535
"ENSG00000003096.14","KLHL13",90293,0.240858407125726,0.124613759899275,0.217181398736314
"ENSG00000003137.8","CYP26B1",56603,-0.428961661868,0.444647620198253,0.570451712812194
"ENSG00000003147.19","ICA1",3382,0.751453482374503,0.0173215203096818,0.0463590262280103
"ENSG00000003249.13","DBNDD1",79007,0.439173867980348,0.0367010763484676,0.0836965694610284
"ENSG00000003393.15","ALS2",57679,0.200584623201203,0.0386527591908625,0.0869370453637514
"ENSG00000003400.14","CASP10",843,0.99726013752988,0.00048629123229056,0.0029527751109808
"ENSG00000003402.20","CFLAR",8837,0.251280243023687,0.280718218961682,0.402682170000264
"ENSG00000003436.16","TFPI",7035,1.05835154480604,0.0693806660884974,0.137320241364385
"ENSG00000003509.16","NDUFAF7",55471,-0.0485485730274952,0.720494919593827,0.803989337818936
"ENSG00000003756.16","RBM5",10181,0.611016754088907,0.00057768024959914,0.00336183318448591
"ENSG00000003987.14","MTMR7",9108,0.0339655111171982,0.914815737802035,0.945241836457339
"ENSG00000003989.17","SLC7A2",6542,-1.06211553556922,0.0492174836597837,0.105168993026354
"ENSG00000004059.11","ARF5",381,0.218379671310328,0.0847375514084833,0.161125419278893
"ENSG00000004139.14","SARM1",23098,0.856315004519792,0.00659011646671446,0.0218382824983193
"ENSG00000004142.12","POLDIP2",26073,-0.490667253169106,3.09930483774656e-05,0.000365601303077877
"ENSG00000004399.12","PLXND1",23129,-0.502284161796716,0.00893318167157024,0.0278004779351652
"ENSG00000004455.16","AK2",204,-0.820626780989814,2.35503376985225e-07,1.5572390730468e-05
"ENSG00000004478.8","FKBP4",2288,-1.00176685749541,4.1125413757323e-07,2.02344043103493e-05
"ENSG00000004487.16","KDM1A",23028,-0.20142723490435,0.0347699192570118,0.0802704013596772
"ENSG00000004534.15","RBM6",10180,-0.0700022544768924,0.445994557784923,0.571711509373173
"ENSG00000004660.14","CAMKK1",84254,0.457375711108466,0.0912748779662345,0.170703812087612
"ENSG00000004700.16","RECQL",5965,0.0618514912694429,0.58852065562239,0.698806776574835
"ENSG00000004766.17","VPS50",55610,0.352466137244777,0.012182492770034,0.0353877750397009
"ENSG00000004777.18","ARHGAP33",115703,0.671621895026942,0.0320722770680743,0.0756070953202933
"ENSG00000004779.10","NDUFAB1",4706,-0.344155073779666,0.0172675001021385,0.0462316147794068
"ENSG00000004799.8","PDK4",5166,1.97831037691753,1.24206836860849e-05,0.000198057693954551
"ENSG00000004838.14","ZMYND10",51364,0.975830029739577,0.0959170467458298,0.177309315210011
"ENSG00000004848.8","ARX",170302,1.27749496553871,0.0334013516259925,0.0779346849609392
"ENSG00000004864.13","SLC25A13",10165,-0.593837024376997,2.57921387868992e-05,0.000322457658814529
"ENSG00000004866.20","ST7",7982,-0.411739088888136,0.00490829540969698,0.017413999096919
"ENSG00000004897.12","CDC27",996,-0.21960230389542,0.156011909960156,0.257966690442419
"ENSG00000004961.15","HCCS",3052,-0.644677597402956,0.00011579333032562,0.000986501688323767
"ENSG00000004975.12","DVL2",1856,0.229757066806107,0.0373636779861924,0.0848051359110318
"ENSG00000005001.10","PRSS22",64063,-0.293208371991462,0.46501365245973,0.589238027444358
"ENSG00000005007.12","UPF1",5976,-0.296011121862015,0.000666354100037353,0.00374629264900095
