,external_gene_name,entrezgene_id,chromosome_name,strand,start_position,end_position,logFC,logCPM,F,PValue,FDR
ENSG00000000003.14,TSPAN6,7105,X,-1,100627108,100639991,0.304088439,5.98026592,1.369669279,0.255413445,0.47101851
ENSG00000000419.12,DPM1,8813,20,-1,50934867,50959140,-0.348973997,5.837148368,4.076607732,0.056871042,0.198643708
ENSG00000000457.14,SCYL3,57147,1,-1,169849631,169894267,0.036098101,3.983760484,0.109701109,0.743876383,0.863645481
ENSG00000000460.17,C1orf112,55732,1,1,169662007,169854080,-0.649754553,3.393829163,14.63184731,0.001034358,0.018405286
ENSG00000000971.15,CFH,3075,1,1,196651754,196752476,0.862142512,6.178532548,2.302573569,0.144566138,0.342112767
ENSG00000001036.13,FUCA2,2519,6,-1,143494812,143511720,-0.158169937,6.719788982,2.02157587,0.170247697,0.374665105
ENSG00000001084.12,GCLC,2729,6,-1,53497341,53616970,0.086364388,8.453862057,0.377334979,0.545850598,0.726685863
ENSG00000001167.14,NFYA,4800,6,1,41072974,41102403,-0.075734559,5.342856148,0.602024692,0.446744754,0.646225497
ENSG00000001460.18,STPG1,90529,1,-1,24356999,24416934,0.333912479,3.657147965,5.078478159,0.03541744,0.14955264
ENSG00000001461.17,NIPAL3,57185,1,1,24415802,24472976,0.465590689,5.663732555,9.295734849,0.006258511,0.055207691
ENSG00000001497.16,LAS1L,81887,X,-1,65438549,65534810,-0.069142192,5.908750904,0.698426894,0.413033214,0.618241737
ENSG00000001561.7,ENPP4,22875,6,1,46129989,46146688,0.326617914,4.396072767,0.624596636,0.438471814,0.638924203
ENSG00000001617.12,SEMA3F,6405,3,1,50155045,50189075,0.711945741,4.4281907,13.94154252,0.001281712,0.021098012
ENSG00000001629.10,ANKIB1,54467,7,1,92245974,92401383,-0.065424135,6.250558844,0.853842398,0.366312302,0.579974041
ENSG00000001630.17,CYP51A1,1595,7,-1,92084987,92134803,-0.661413114,6.866458919,23.00174051,0.000105665,0.00523976
ENSG00000001631.15,KRIT1,889,7,-1,92197498,92246166,0.035088422,4.89682748,0.058199493,0.811782566,0.900865972
ENSG00000002016.17,RAD52,5893,12,-1,911736,990053,0.1117772,2.578039923,0.307338624,0.585369069,0.75417929
ENSG00000002330.13,BAD,572,11,-1,64269830,64284704,-0.134357008,5.788346094,0.259406892,0.616015089,0.773175852
ENSG00000002549.12,LAP3,51056,4,1,17577198,17607972,-0.109873179,6.479751571,1.972473867,0.17528861,0.380276627
ENSG00000002586.20,CD99,4267,X,1,2691187,2741309,-0.210857857,7.608951853,1.311214352,0.265484692,0.48259766
ENSG00000002587.10,HS3ST1,9957,4,-1,11393150,11429564,-0.774784123,4.665878092,12.80935561,0.0026624,0.032661679
ENSG00000002726.20,AOC1,26,7,1,150824627,150861504,0.157308522,4.979635268,0.158228181,0.694941466,0.830894865
ENSG00000002746.15,HECW1,23072,7,1,43112629,43566001,0.967234754,0.567179801,2.266449135,0.147591196,0.346592296
ENSG00000002822.15,MAD1L1,8379,7,-1,1815793,2233243,0.021953439,4.761680769,0.053046375,0.820147786,0.904930429
ENSG00000002834.18,LASP1,3927,17,1,38869859,38921770,0.163105436,8.696118092,4.202457046,0.053493048,0.191942291
ENSG00000002919.14,SNX11,29916,17,1,48103357,48123601,-0.094230789,4.694381423,0.612537303,0.442860941,0.642801448
ENSG00000002933.9,TMEM176A,55365,7,1,150800403,150805118,0.52044812,5.819972166,5.822225294,0.028781736,0.132370902
ENSG00000003056.8,M6PR,4074,12,-1,8940361,8949761,-0.141242428,7.163655525,2.354029622,0.140384944,0.336630518
ENSG00000003096.14,KLHL13,90293,X,-1,117897813,118117340,0.546514371,3.020311348,5.835801736,0.025229933,0.122865945
ENSG00000003137.8,CYP26B1,56603,2,-1,72129238,72147862,-0.495140515,2.663392124,2.448638898,0.133069342,0.326552021
ENSG00000003147.19,ICA1,3382,7,-1,8113184,8262687,0.076784953,4.867056322,0.278135,0.603638031,0.766074578
ENSG00000003249.13,DBNDD1,79007,16,-1,90004871,90019890,0.225000465,5.243052186,2.921279252,0.102649933,0.281577104
ENSG00000003393.15,ALS2,57679,2,-1,201700267,201782112,0.107027954,4.903682094,1.146817745,0.296773096,0.51553616
ENSG00000003400.14,CASP10,843,2,1,201182872,201229428,0.329363482,4.109812397,4.432623589,0.04789075,0.180697032
ENSG00000003402.20,CFLAR,8837,2,1,201116154,201176687,0.069415331,7.216619928,0.289826848,0.596180714,0.760869869
ENSG00000003436.16,TFPI,7035,2,-1,187464230,187565760,-0.146079903,7.290247458,3.011218443,0.097834126,0.274374915
ENSG00000003509.16,NDUFAF7,55471,2,1,37231631,37253403,0.00511407,3.696726966,0.003724319,0.951933868,0.974357842
ENSG00000003756.16,RBM5,10181,3,1,50088919,50119021,0.319338466,6.476565946,2.684559412,0.116719154,0.303514866
ENSG00000003987.14,MTMR7,9108,8,-1,17296794,17413528,0.106866213,0.488801177,0.078004396,0.782843445,0.886397633
ENSG00000004059.11,ARF5,381,7,1,127588386,127591700,0.024497519,7.29713448,0.016097628,0.90028544,0.948150499
ENSG00000004139.14,SARM1,23098,17,1,28364356,28404049,0.880202554,3.48245726,13.87819789,0.001307497,0.021296238
ENSG00000004142.12,POLDIP2,26073,17,-1,28346633,28357527,-0.10590249,7.237204613,0.624622496,0.438462476,0.638924203
ENSG00000004399.12,PLXND1,23129,3,-1,129555214,129606676,-0.11427125,6.350523175,0.899661109,0.354018741,0.56918506
ENSG00000004455.16,AK2,204,1,-1,33007986,33080996,-0.359360795,7.362054711,6.419309749,0.019613761,0.106231347
ENSG00000004478.8,FKBP4,2288,12,1,2794970,2805423,-0.172442461,7.319762958,2.488586528,0.130117838,0.322362936
ENSG00000004487.16,KDM1A,23028,1,1,23019443,23083689,0.19865259,7.34024813,5.171714521,0.033941451,0.145370857
ENSG00000004534.15,RBM6,10180,3,1,49940007,50100045,0.129974225,5.828260525,0.734345309,0.40147307,0.610131454
ENSG00000004660.14,CAMKK1,84254,17,-1,3860315,3894891,-0.053299767,3.921795502,0.179437293,0.676307828,0.817541636
ENSG00000004700.16,RECQL,5965,12,-1,21468910,21501669,-0.323412868,5.797800599,14.30695066,0.001143507,0.019571835
ENSG00000004766.17,VPS50,55610,7,1,93232340,93361123,0.168476383,4.211459376,2.159159539,0.157036988,0.358170108
ENSG00000004777.18,ARHGAP33,115703,19,1,35774532,35788822,0.051141286,3.224805422,0.024251506,0.877783498,0.937047221
ENSG00000004779.10,NDUFAB1,4706,16,-1,23581014,23596316,-0.430464755,5.901452456,4.149008477,0.054898846,0.194420319
ENSG00000004799.8,PDK4,5166,7,-1,95583499,95596516,1.425921889,5.557577649,42.96584105,2.02E-06,0.000933814
ENSG00000004838.14,ZMYND10,51364,3,-1,50341110,50345732,0.158259872,3.434637978,0.630643633,0.436296949,0.637727011
ENSG00000004864.13,SLC25A13,10165,7,-1,96120220,96322147,-0.139536348,5.707887131,2.598048471,0.122421385,0.31184116
ENSG00000004866.20,ST7,7982,7,1,116953238,117230176,-0.36434652,4.571707576,13.20083594,0.001622145,0.024170673
ENSG00000004897.12,CDC27,996,17,-1,47117703,47189422,-0.317228686,5.966362731,13.03236883,0.001712831,0.024969514
ENSG00000004961.15,HCCS,3052,X,1,11111301,11123086,-0.150525687,4.92339987,1.645653695,0.213993102,0.42716169
ENSG00000004975.12,DVL2,1856,17,-1,7225342,7234517,0.184230712,5.723011463,7.121570317,0.014629594,0.089187741
ENSG00000005001.10,PRSS22,64063,16,-1,2852730,2858170,0.757673355,3.998342895,4.465734353,0.04714124,0.178960379
ENSG00000005007.12,UPF1,5976,19,1,18831959,18868230,0.257426918,6.907869166,2.264847796,0.147727049,0.346729915
ENSG00000005020.13,SKAP2,8935,7,-1,26667068,26995239,-0.026001092,5.994353454,0.045186084,0.833780378,0.913611136
ENSG00000005022.6,SLC25A5,292,X,1,119468422,119471396,-0.352510108,8.955469279,3.560606292,0.073538049,0.23061906
ENSG00000005059.16,MCUB,55013,4,1,109560209,109688719,-0.4556265,4.550457649,3.980070463,0.059628244,0.204635019
ENSG00000005073.5,HOXA11,3207,7,-1,27181157,27185232,-0.014638553,3.529136678,0.018960312,0.891835784,0.944049352
ENSG00000005075.15,POLR2J,5439,7,-1,102473128,102478922,-0.302844647,5.740030929,1.230400751,0.280286177,0.498409875
ENSG00000005100.13,DHX33,56919,17,-1,5440917,5468982,-0.054474623,5.306830522,0.217860071,0.64564144,0.79531689
ENSG00000005108.16,THSD7A,221981,7,-1,11370365,11832198,0.723186576,4.045804832,3.283867541,0.084770322,0.251005597
ENSG00000005156.11,LIG3,3980,17,1,34980512,35009743,-0.068498589,5.05524414,0.359741566,0.555280439,0.733296814
ENSG00000005175.10,RPAP3,79657,12,-1,47661249,47706030,-0.102023235,4.92766708,1.581996343,0.222737665,0.436340364
ENSG00000005187.12,ACSM3,6296,16,1,20610243,20797581,0.059162579,2.643220948,0.101584864,0.75318924,0.869293654
ENSG00000005189.19,REXO5,81691,16,1,20806429,20849665,-0.27536415,2.71523336,3.722230533,0.067777126,0.220615833
ENSG00000005194.15,CIAPIN1,57019,16,-1,57428187,57447420,-0.028673555,5.790323907,0.049383279,0.826358437,0.909028024
ENSG00000005206.17,SPPL2B,56928,19,1,2328615,2355095,0.402310812,6.185019321,4.440657181,0.047707659,0.18025867
ENSG00000005238.19,ATOSB,80256,9,-1,35104112,35116341,-0.08981548,4.924713033,1.04990504,0.317574386,0.535121252
ENSG00000005243.10,COPZ2,51226,17,-1,48026167,48038030,0.714455658,1.570698647,2.182576349,0.154914397,0.355624401
ENSG00000005249.13,PRKAR2B,5577,7,1,107044705,107161811,0.565011346,2.740401026,1.852318645,0.188419673,0.396254956
ENSG00000005302.18,MSL3,10943,X,1,11758159,11775772,-0.153090176,4.731015078,2.509993478,0.128568358,0.320469242
ENSG00000005339.14,CREBBP,1387,16,-1,3725054,3880713,0.335194293,6.226865973,2.900339375,0.103810744,0.283522044
ENSG00000005379.17,TSPOAP1,9256,17,-1,58301228,58328795,0.832867556,4.836400382,6.231223198,0.02125404,0.110794086
ENSG00000005436.13,GCFC2,6936,2,-1,75652000,75710985,-0.10014546,4.338992888,1.061186059,0.315052471,0.532800601
ENSG00000005448.16,WDR54,84058,2,1,74421678,74425755,-0.419364711,5.216809216,5.402615662,0.030576279,0.136911561
ENSG00000005469.11,CROT,54677,7,1,87345664,87399794,0.436096879,3.78369987,16.72748119,0.000554691,0.012815933
ENSG00000005483.20,KMT2E,55904,7,1,104940943,105115019,0.200265505,5.902564999,0.857839246,0.365215584,0.57903177
ENSG00000005486.17,RHBDD2,57414,7,1,75842602,75888926,0.195807751,6.802418869,4.258565975,0.052061359,0.189480276
ENSG00000005513.10,SOX8,30812,16,1,981770,986979,-0.26472501,0.809841541,1.492629457,0.235795106,0.449655806
ENSG00000005700.15,IBTK,25998,6,-1,82169986,82247754,-0.190207948,5.869845388,4.822656578,0.039854979,0.160300558
ENSG00000005801.18,ZNF195,7748,11,-1,3339261,3379222,-0.149857592,4.075672893,2.530658247,0.127093414,0.318681941
ENSG00000005810.18,MYCBP2,23077,13,-1,77042474,77327094,0.044072005,5.153233241,0.167285132,0.686815136,0.824986613
ENSG00000005812.11,FBXL3,26224,13,-1,76992598,77027195,-0.048878141,5.526206139,0.338767099,0.566944653,0.741737101
ENSG00000005882.11,PDK2,5164,17,1,50094737,50112152,0.822916546,5.158542077,38.86206134,4.05E-06,0.001339223
