,ensembl_gene_id,external_gene_name,entrezgene_id,chromosome_name,strand,start_position,end_position,gene_biotype,ERKi_1_hr.logFC,ERKi_1_hr.FDR,ERKi_12_hr.logFC,ERKi_12_hr.FDR,ERKi_4_hr.logFC,ERKi_4_hr.FDR,ERKi_24_hr.logFC,ERKi_24_hr.FDR
ENSG00000000003.14,ENSG00000000003,TSPAN6,7105,X,-1,100627108,100639991,protein_coding,0.118833441383934,0.645176106155534,0.360201893772658,0.00687193179083691,0.183234063215885,0.254185354105986,0.63868220678996,1.16589419939456e-05
ENSG00000000419.12,ENSG00000000419,DPM1,8813,20,-1,50934867,50959140,protein_coding,0.0761701687191159,0.649971938662844,-0.0468640903153388,0.595563815242509,0.154569398423315,0.128451105743466,-0.250525542920157,0.00250923984503091
ENSG00000000457.14,ENSG00000000457,SCYL3,57147,1,-1,169849631,169894267,protein_coding,-0.167693390922815,0.177661408595566,0.155087574843573,0.0703824697221345,0.108025361977363,0.32248986982023,0.255829846212118,0.00261310378525914
ENSG00000000460.17,ENSG00000000460,C1orf112,55732,1,1,169662007,169854080,protein_coding,0.00950045135474606,0.991022609392784,0.0183816881433728,0.937929742300406,0.0973190465326461,0.752426657030513,-0.934807127710842,3.49202340251908e-05
ENSG00000000971.15,ENSG00000000971,CFH,3075,1,1,196652043,196747504,protein_coding,0.312420337921379,0.690514200332679,0.174886855273146,0.666393707867991,-0.00946775367875797,0.987231894288306,1.03022127695446,0.00613455584246779
ENSG00000001036.13,ENSG00000001036,FUCA2,2519,6,-1,143494812,143511720,protein_coding,0.0054503117141723,0.9906273781223,0.0422888390743282,0.686248693872306,0.0954578953172144,0.459186206488122,-0.201192847661084,0.0299308736728024
ENSG00000001084.12,ENSG00000001084,GCLC,2729,6,-1,53497341,53616970,protein_coding,-0.00707115419259126,0.991261160106703,0.170629906005791,0.284419522484828,0.371840526753011,0.0501769015711539,0.17229795821215,0.247482719571637
ENSG00000001167.14,ENSG00000001167,NFYA,4800,6,1,41072974,41102403,protein_coding,-0.214634293326445,0.13518646478487,-0.187300321346186,0.0646703653580623,-0.22550586033451,0.065445524401141,-0.153045685725213,0.10918990417389
ENSG00000001460.18,ENSG00000001460,STPG1,90529,1,-1,24356999,24416934,protein_coding,-0.0651026038534828,0.864818708968822,0.652365583006347,6.80753652021493e-05,0.536046216039542,0.00235893300960741,0.713996607119353,9.18949926610369e-06
ENSG00000001461.17,ENSG00000001461,NIPAL3,57185,1,1,24415802,24472976,protein_coding,-0.124003924717784,0.83887505162836,0.893113880981638,0.00054015302086776,0.306841495543035,0.300938323202495,1.11026810258114,2.5016012376021e-05
ENSG00000001497.16,ENSG00000001497,LAS1L,81887,X,-1,65438549,65534810,protein_coding,-0.0205456208468104,0.976283846758902,-0.419064776214204,0.00785982018779181,-0.0708248062519943,0.76058739331126,-0.824625176789832,3.83789880844885e-06
ENSG00000001561.7,ENSG00000001561,ENPP4,22875,6,1,46129989,46146688,protein_coding,-0.0312611445876553,0.952209547822429,0.316818704028515,0.0192311768953303,0.135549981895253,0.441483543318936,0.644171510776634,1.59168836835143e-05
ENSG00000001617.12,ENSG00000001617,SEMA3F,6405,3,1,50155045,50189075,protein_coding,-0.0194638268708123,0.989342124169535,0.63852005310656,0.0307466511704248,0.138701424115357,0.752529316363459,1.09324622417799,0.000392363333307025
ENSG00000001629.10,ENSG00000001629,ANKIB1,54467,7,1,92245974,92401383,protein_coding,0.0278756177046932,0.903621018372846,0.0690986351950032,0.369669524432428,-0.0454993172049935,0.674161567631596,0.297244535865867,0.000173837913498312
ENSG00000001630.17,ENSG00000001630,CYP51A1,1595,7,-1,92112153,92134803,protein_coding,0.0231205874706279,0.975096422709432,0.875409521599519,1.04577778778266e-05,0.147108705860658,0.498850446978278,1.14363422898386,8.18009059288186e-08
ENSG00000001631.15,ENSG00000001631,KRIT1,889,7,-1,92198969,92246166,protein_coding,-0.0621614624610342,0.601838558326981,0.200594257355032,0.00232585309978089,0.102637592975038,0.181028758968274,0.240623853312683,0.000226091736827271
ENSG00000002016.17,ENSG00000002016,RAD52,5893,12,-1,911736,990053,protein_coding,-0.22988840357862,0.0520431670029039,-0.033337244282613,0.723782135423107,-0.0291926276292633,0.834760875983971,0.0683852948631856,0.40941977027223
