,external_gene_name,entrezgene_id,chromosome_name,strand,start_position,end_position,gene_biotype,24h_MRTX1133.logFC,24h_MRTX1133.PValue,24h_MRTX1133.FDR,24h_SCH772984.logFC,24h_SCH772984.PValue,24h_SCH772984.FDR,24h_Trametinib.logFC,24h_Trametinib.PValue,24h_Trametinib.FDR
ENSG00000000003.14,TSPAN6,7105,X,-1,100627108,100639991,protein_coding,-0.0840925630059201,0.67191925187501,0.758170830389996,-0.283728062453289,0.17048229352151,0.240162488680561,0.00575397978968089,0.976900196045553,0.983885268088263
ENSG00000000419.12,DPM1,8813,20,-1,50934867,50959140,protein_coding,-0.398022199473752,0.0166878303196214,0.0430964047419249,-0.635311127834781,0.000962591173216472,0.00350799669765392,-0.309574874523583,0.050125630923017,0.0950249312665789
ENSG00000000457.14,SCYL3,57147,1,-1,169849631,169894267,protein_coding,0.292434813819728,0.0935934863209718,0.165737874671082,0.392465512122026,0.0310541889626256,0.0588609797603852,0.542354843902867,0.00592825010617485,0.0172620602718033
ENSG00000000460.17,C1orf112,55732,1,1,169662007,169854080,protein_coding,-0.858592501988647,0.000203983631573452,0.0014245953624404,-1.14453878386898,1.78929799175051e-05,0.000166550022464611,-1.11042746286219,2.32154462120982e-05,0.000236215649839548
ENSG00000000971.15,CFH,3075,1,1,196651754,196752476,protein_coding,2.86634239704067,1.93557720826363e-05,0.000258025463418587,3.13798966048842,7.14813057594323e-06,8.45838001653363e-05,3.4680855938991,2.9734195167978e-06,5.34803808782816e-05
ENSG00000001036.13,FUCA2,2519,6,-1,143494812,143511720,protein_coding,-0.110119100886547,0.222976515487769,0.327695593031742,-0.0733621734209529,0.407292281302665,0.491044040498036,-0.0611218649530423,0.487759756660805,0.585221604589642
ENSG00000001084.12,GCLC,2729,6,-1,53497341,53616970,protein_coding,0.00542314695355302,0.966611407742695,0.97846930864253,0.0861781835482246,0.509325238295528,0.588973428379131,-0.146610818661014,0.271150645705005,0.368008149400651
ENSG00000001167.14,NFYA,4800,6,1,41072974,41102403,protein_coding,-0.417352799825533,0.00400131767320312,0.0142316412891444,-0.385154472833266,0.00644737631541248,0.0162204167212153,-0.46935053363728,0.00184173651701024,0.00684851832708864
ENSG00000001460.18,STPG1,90529,1,-1,24356999,24416934,protein_coding,-0.553576272915354,0.051758478181885,0.104329029038693,-0.36692536259433,0.166244952658056,0.235270517071218,-0.522647498173154,0.0598598614255349,0.109758726462661
ENSG00000001461.17,NIPAL3,57185,1,1,24415802,24472976,protein_coding,0.398445034614268,0.00380186664130452,0.0136175315268049,0.516788418528659,0.000624243627821067,0.00250189655565859,0.398220204014811,0.00377737030730672,0.0120313431059497
ENSG00000001497.16,LAS1L,81887,X,-1,65438549,65534810,protein_coding,-0.75550969451696,0.000331626983732458,0.00205026497451939,-0.527244784187628,0.00406066152828618,0.0111801542107451,-0.684404900222406,0.000685797996766072,0.00314912190895214
ENSG00000001561.7,ENPP4,22875,6,1,46129989,46146688,protein_coding,0.534490114280156,0.00298423817580581,0.0112762535595817,0.0694392258292857,0.62770281180248,0.694997023655914,0.415689697256652,0.0128518543040848,0.0318936592377532
ENSG00000001617.12,SEMA3F,6405,3,1,50155045,50189075,protein_coding,0.809762518389174,0.000278715194565843,0.00179669490978639,0.654461621026393,0.00134393727320255,0.00457808002943212,0.94520764002628,7.71406643026697e-05,0.000586760901992525
ENSG00000001629.10,ANKIB1,54467,7,1,92245974,92401383,protein_coding,0.344881427433686,0.00320471280337055,0.0119054011389276,0.42585932333565,0.000741505665545265,0.00285684039098839,0.329884728062136,0.00423013016229006,0.0131492825650979
ENSG00000001630.17,CYP51A1,1595,7,-1,92084987,92134803,protein_coding,-0.116296966254508,0.20896713227299,0.311333597986941,0.755126642586421,3.89104933383971e-06,5.46815564826399e-05,-0.0495146311000399,0.580728364282925,0.668752008918699
ENSG00000001631.15,KRIT1,889,7,-1,92197498,92246166,protein_coding,0.0515464030909291,0.636275587043792,0.726861235893001,-0.0444797707005476,0.682627974039156,0.742312682028814,0.0106908108190678,0.921373984044357,0.943403682559343
ENSG00000002016.17,RAD52,5893,12,-1,911736,990053,protein_coding,0.0735915104610355,0.720981134535372,0.798805007946648,0.0225532776940338,0.911854134844868,0.932354873953316,0.318649067562612,0.138166235971734,0.215402248932596
ENSG00000002330.13,BAD,572,11,-1,64269830,64284704,protein_coding,0.15846980597751,0.148590922330361,0.238067215700186,0.0920547124583646,0.385314634883795,0.469534437818058,0.0730958278682504,0.487731028722184,0.585221604589642
ENSG00000002549.12,LAP3,51056,4,1,17577198,17607972,protein_coding,0.430046140161281,0.000393988156575506,0.00233575838667558,0.521242941775054,8.26206390257253e-05,0.000523255611508992,0.410411183564904,0.000561648110145794,0.00269438984641546
ENSG00000002586.20,CD99,4267,X,1,2691187,2741309,protein_coding,0.607631073622038,0.0377797999011091,0.0815817585230635,0.801740548957451,0.0099068699321969,0.0230687709506357,0.935874093624635,0.0040567320441923,0.0127458356164075
ENSG00000002587.10,HS3ST1,9957,4,-1,11393150,11429564,protein_coding,-0.345811946027758,0.00201962156405796,0.00830250536559776,-0.572693629788607,3.92081583764496e-05,0.000299988599200963,-0.488912021992962,0.000149552339732803,0.000982256406638312
ENSG00000002822.15,MAD1L1,8379,7,-1,1815793,2233243,protein_coding,0.215038355446993,0.195060801242389,0.295128229238355,0.673255006577291,0.00128981512551925,0.00442465628886312,0.441142184517815,0.0164763284282779,0.0389140920515146
ENSG00000002834.18,LASP1,3927,17,1,38869859,38921770,protein_coding,0.280155914264525,0.0382126190292107,0.082318726565414,0.473127978177147,0.00226599211754307,0.00698989811245277,0.363752403045957,0.0110474436040646,0.0282307460492063
ENSG00000002919.14,SNX11,29916,17,1,48103357,48123601,protein_coding,-0.257601921073018,0.155461527541186,0.24685068299304,-0.31695513939884,0.0862088018237049,0.136511865382762,-0.263165935331409,0.145695417745985,0.224357893686554
ENSG00000003056.8,M6PR,4074,12,-1,8940361,8949761,protein_coding,-0.301425185813329,0.00538903288878504,0.0179189941703031,-0.303170939314501,0.0051894355466132,0.0136275136961938,-0.33679327896423,0.00267652914916088,0.0091902502276667
ENSG00000003147.19,ICA1,3382,7,-1,8113184,8262687,protein_coding,-0.0739542181194947,0.577905032282296,0.677525845608937,-0.140051577347957,0.300208915641665,0.382408197076346,0.000593934410814485,0.996352371214097,0.997803286950831
ENSG00000003249.13,DBNDD1,79007,16,-1,90004871,90019890,protein_coding,0.400190620812637,0.00332376389714083,0.0122658218817782,0.534064251776091,0.000427899209338208,0.0018486953645133,0.299449661415709,0.0170911741191345,0.040044763101388
ENSG00000003393.15,ALS2,57679,2,-1,201700267,201782112,protein_coding,-0.109419978022336,0.481606031904142,0.590377977896315,-0.050632062564657,0.741121401265493,0.792866974944627,-0.140896155292003,0.366675862586782,0.467889926817515
ENSG00000003400.14,CASP10,843,2,1,201182872,201229428,protein_coding,1.4251718241054,6.13696442461251e-07,2.38894367820023e-05,1.73823842962308,9.12906210954001e-08,4.12076699315182e-06,1.63698775267299,1.6367158209809e-07,7.53340341066443e-06
ENSG00000003402.20,CFLAR,8837,2,1,201116154,201176687,protein_coding,0.0984059431907297,0.343668906846557,0.456704077158864,0.0436203709621113,0.669217689605336,0.730652223494209,0.0919694452713776,0.374650887767494,0.475429206025402
ENSG00000003436.16,TFPI,7035,2,-1,187464230,187565760,protein_coding,0.465105748661709,0.00178138133090491,0.00759523309249061,0.282784642842834,0.0292522054172064,0.0560819176012725,0.472306642810611,0.00159941024696606,0.006126705503696
ENSG00000003509.16,NDUFAF7,55471,2,1,37231631,37253403,protein_coding,0.0939048520493018,0.673151043766319,0.759340877332308,-0.165125423683237,0.460017795014921,0.541162008605298,-0.0233082745033715,0.915743803752133,0.939531444463904
ENSG00000003756.16,RBM5,10181,3,1,50088919,50119021,protein_coding,0.139756570099138,0.196482091054863,0.296741005880688,0.103086845284483,0.331256327110924,0.414371679890201,0.095040045378648,0.368802870355224,0.470244776673893
ENSG00000004059.11,ARF5,381,7,1,127588386,127591700,protein_coding,0.263130127409385,0.0155212856601335,0.0408761679821307,0.0501344618703674,0.594646356693442,0.666092800239823,0.159709674655205,0.109336678975362,0.178129196474492
ENSG00000004139.14,SARM1,23098,17,1,28364356,28404049,protein_coding,0.30650858846517,0.464791259897116,0.574869840139651,0.632139332780658,0.134393930330648,0.196928246442099,0.717655724102081,0.0945107229972678,0.158366756852667
ENSG00000004142.12,POLDIP2,26073,17,-1,28346633,28357527,protein_coding,-0.458800171446821,0.00040612526567523,0.00238353939809695,-0.394588723987672,0.00123420284993594,0.00428035168157849,-0.409508240475511,0.000946444626555403,0.00403386224172775
ENSG00000004399.12,PLXND1,23129,3,-1,129555214,129606676,protein_coding,0.486222446666569,0.0288679453079531,0.0662404609608007,1.02922352432168,0.000232484436787396,0.00116801699633925,0.967968766335451,0.000376172756192543,0.00198727324566065
ENSG00000004455.16,AK2,204,1,-1,33007986,33080996,protein_coding,-0.863123370365474,2.14671669864315e-05,0.000275189308375407,-1.15108897703851,1.54689661026447e-06,2.77373746481624e-05,-0.942363258630842,9.77966405768359e-06,0.000126615783497651
ENSG00000004478.8,FKBP4,2288,12,1,2794970,2805423,protein_coding,-0.894687637649512,5.24529093678568e-07,2.15348713644295e-05,-0.781553473419269,1.89956863385103e-06,3.23729692395808e-05,-0.831512299643248,1.05404732527024e-06,2.55282737560269e-05
ENSG00000004487.16,KDM1A,23028,1,1,23019443,23083689,protein_coding,-0.230900126210702,0.051053088384743,0.10313835429515,-0.106385247095799,0.332859190233867,0.416154079031562,-0.29374344928948,0.0178279675672397,0.0413791480700018
