,ensembl_gene_id,external_gene_name,entrezgene_id,chromosome_name,strand,start_position,end_position,gene_biotype,logFC,logCPM,F,PValue,FDR
ENSG00000000003.14,ENSG00000000003,TSPAN6,7105,X,-1,100627108,100639991,protein_coding,0.076129238,5.98026592,0.332580864,0.954158507,0.973805576
ENSG00000000419.12,ENSG00000000419,DPM1,8813,20,-1,50934867,50959140,protein_coding,-0.252696926,5.837148368,8.238122428,0.00606689,0.018164259
ENSG00000000457.14,ENSG00000000457,SCYL3,57147,1,-1,169849631,169894267,protein_coding,0.087521169,3.983760484,1.936687111,0.170393358,0.2759979
ENSG00000000460.17,ENSG00000000460,C1orf112,55732,1,1,169662007,169854080,protein_coding,-0.522800653,3.393829163,30.81360382,1.18E-06,1.25E-05
ENSG00000000971.15,ENSG00000000971,CFH,3075,1,1,196651754,196752476,protein_coding,0.350685708,6.178532548,1.724861738,0.195262213,0.307624587
ENSG00000001036.13,ENSG00000001036,FUCA2,2519,6,-1,143494812,143511720,protein_coding,-0.205035913,6.719788982,13.6088995,0.00057002,0.002458252
ENSG00000001084.12,ENSG00000001084,GCLC,2729,6,-1,53497341,53616970,protein_coding,-0.067189871,8.453862057,0.71066516,0.403370997,0.534363427
ENSG00000001167.14,ENSG00000001167,NFYA,4800,6,1,41072974,41102403,protein_coding,-0.154039372,5.342856148,8.758740194,0.004759198,0.014767656
ENSG00000001460.18,ENSG00000001460,STPG1,90529,1,-1,24356999,24416934,protein_coding,0.352388409,3.657147965,20.18162221,4.38E-05,0.000271068
ENSG00000001461.17,ENSG00000001461,NIPAL3,57185,1,1,24415802,24472976,protein_coding,0.376739751,5.663732555,19.92672009,4.81E-05,0.00029363
ENSG00000001497.16,ENSG00000001497,LAS1L,81887,X,-1,65438549,65534810,protein_coding,-0.237007776,5.908750904,16.97147647,0.000147636,0.000769307
ENSG00000001561.7,ENSG00000001561,ENPP4,22875,6,1,46129989,46146688,protein_coding,0.305363736,4.396072767,2.92135477,0.093821504,0.172270401
ENSG00000001617.12,ENSG00000001617,SEMA3F,6405,3,1,50155045,50189075,protein_coding,0.796520247,4.4281907,37.89227914,1.41E-07,2.14E-06
ENSG00000001629.10,ENSG00000001629,ANKIB1,54467,7,1,92245974,92401383,protein_coding,0.045195953,6.250558844,0.955411951,0.333207204,0.463306094
